Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
2144;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;019;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2145;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;003;75 - 79;Española;H;2;Zona / Historia Social;;;03/04/2020
2146;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;018;80 - 84;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2147;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;019;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2148;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;121;80 - 84;Española;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2149;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;122;35 - 39;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2150;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;120;30 - 34;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2151;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;108;40 - 44;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2152;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;117;>= 85;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2153;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;108;50 - 54;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2154;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;116;55 - 59;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2155;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;108;25 - 29;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2156;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;111;18 - 24;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2157;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;117;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2158;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;117;35 - 39;Extranjera;H;1;Primera Atención;;;03/04/2020
2159;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;124;60 - 64;Extranjera;M;1;Primera Atención;;;03/04/2020
2160;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;112;25 - 29;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2161;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;117;50 - 54;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2162;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;117;25 - 29;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2163;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;117;50 - 54;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2164;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;122;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2165;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;112;25 - 29;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2166;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;112;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2167;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;121;80 - 84;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2168;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;122;30 - 34;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2169;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;109;25 - 29;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2170;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;121;30 - 34;Extranjera;H;1;Primera Atención;040;Desproteccion social problema salud;03/04/2020
2171;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;121;45- 49;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2172;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;117;45- 49;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2173;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;058;25 - 29;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2174;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;062;75 - 79;Española;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2175;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;034;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2176;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;035;45- 49;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2177;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;032;40 - 44;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2178;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;025;35 - 39;Extranjera;H;0;CIVIS;050;Desprotección socio-familiar;03/04/2020
2179;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;054;25 - 29;Española;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2180;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;033;70 - 74;Española;M;2;Zona / Historia Social;010;Malos Tratos;03/04/2020
2181;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;036;70 - 74;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2182;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;043;30 - 34;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2183;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;042;>= 85;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2184;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;033;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;03/04/2020
2185;101;CSS Vicente Ferrer;06;TETUÁN;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;088;55 - 59;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2186;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;129;50 - 54;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2187;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;078;35 - 39;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2188;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;072;40 - 44;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2189;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;127;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2190;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;078;35 - 39;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2191;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;073;45- 49;Española;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2192;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;089;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2193;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;073;45- 49;Española;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2194;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;129;25 - 29;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2195;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;073;40 - 44;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2196;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;128;35 - 39;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2197;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;073;40 - 44;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2198;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;085;50 - 54;Española;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2199;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;073;45- 49;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2200;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;129;35 - 39;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2201;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;078;70 - 74;Extranjera;M;1;Primera Atención;;;03/04/2020
2202;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;004;30 - 34;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2203;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;069;25 - 29;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2204;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;068;60 - 64;Española;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2205;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;069;45- 49;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2206;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;068;25 - 29;Española;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2207;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;099;25 - 29;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2208;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;096;60 - 64;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2209;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;106;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2210;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;098;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2211;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;096;50 - 54;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2212;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;093;35 - 39;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2213;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;094;55 - 59;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2214;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;094;80 - 84;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2215;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;091;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2216;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;093;30 - 34;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2217;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;103;30 - 34;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2218;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;094;40 - 44;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2219;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;107;45- 49;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2220;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;093;18 - 24;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2221;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;095;25 - 29;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2222;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;126;35 - 39;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;03/04/2020
2223;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;106;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/04/2020
2224;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;106;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/04/2020
2225;103;CSS Eduardo Minguito;17;VILLAVERDE;17;VILLAVERDE;1702;SAN CRISTOBAL;033;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2226;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1705;LOS ANGELES;068;35 - 39;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2227;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1705;LOS ANGELES;073;45- 49;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2228;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1705;LOS ANGELES;068;45- 49;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2229;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1705;LOS ANGELES;068;25 - 29;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/04/2020
2230;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1107;ABRANTES;157;55 - 59;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;06/04/2020
2231;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1101;COMILLAS;015;25 - 29;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2232;71;CSS Maravillas;01;CENTRO;11;CARABANCHEL;1102;OPAÑEL;042;18 - 24;Extranjera;H;1;Primera Atención;040;Desproteccion social problema salud;06/04/2020
2233;71;CSS Maravillas;01;CENTRO;01;CENTRO;0106;SOL;123;40 - 44;Extranjera;M;1;Primera Atención;040;Desproteccion social problema salud;06/04/2020
2234;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;078;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;06/04/2020
2235;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;092;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;06/04/2020
2236;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;085;50 - 54;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;06/04/2020
2237;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;089;40 - 44;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;06/04/2020
2238;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;088;12 - 17;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2239;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;079;>= 85;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2240;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;085;35 - 39;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2241;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;089;45- 49;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2242;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;040;30 - 34;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2243;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;045;55 - 59;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2244;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;040;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2245;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;040;30 - 34;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2246;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;032;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;06/04/2020
2247;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;032;55 - 59;Extranjera;M;2;Zona / Historia Social;;;06/04/2020
2248;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;004;55 - 59;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2249;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;016;50 - 54;Española;H;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2250;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;016;12 - 17;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2251;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;006;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2252;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;023;55 - 59;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2253;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;017;40 - 44;Española;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2254;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;019;55 - 59;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2255;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;016;30 - 34;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2256;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;016;>= 85;Española;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2257;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;096;80 - 84;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2258;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;109;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2259;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;106;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2260;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;110;60 - 64;Española;H;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2261;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;101;40 - 44;Española;H;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2262;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;106;55 - 59;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2263;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;117;60 - 64;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2264;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;062;55 - 59;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2265;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;064;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2266;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;073;55 - 59;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2267;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;062;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;06/04/2020
2268;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;071;80 - 84;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2269;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;053;>= 85;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2270;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;065;40 - 44;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2271;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;056;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2272;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;065;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2273;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;056;60 - 64;Española;H;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2274;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;065;50 - 54;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2275;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0706;VALLEHERMOSO;120;18 - 24;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2276;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;09;MONCLOA-ARAVACA     ;0903;CIUDAD UNIVERSITARIA;037;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2277;80;CSS Gallur;10;LATINA;04;SALAMANCA;0403;FUENTE DEL BERRO;051;30 - 34;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;06/04/2020
2278;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0903;CIUDAD UNIVERSITARIA;039;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;06/04/2020
2279;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0902;ARGÜELLES;026;25 - 29;Extranjera;M;1;Primera Atención;040;Desproteccion social problema salud;06/04/2020
2280;73;CSS Guindalera;04;SALAMANCA;15;CIUDAD LINEAL;1503;QUINTANA;093;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2281;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0406;CASTELLANA;124;65 - 69;Española;M;1;Primera Atención;040;Desproteccion social problema salud;06/04/2020
2282;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0406;CASTELLANA;127;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;06/04/2020
2283;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0403;FUENTE DEL BERRO;060;35 - 39;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
2284;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0403;FUENTE DEL BERRO;047;50 - 54;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;06/04/2020
2285;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0403;FUENTE DEL BERRO;060;45- 49;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;06/04/2020
2286;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0403;FUENTE DEL BERRO;053;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;06/04/2020
2287;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0403;FUENTE DEL BERRO;055;40 - 44;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;06/04/2020
